"Filename","Segment","WC","adverb","negate","quant","posemo","anx","anger","sad","family","friend","female","male","insight","cause","discrep","tentat","certain","differ","see","hear","feel","body","health","sexual","ingest","affiliation","achiev","power","reward","risk","motion","space","work","leisure","home","money","relig","death","exp_relate","exp_body","exp_imperson","exp_affect","exp_space","exp_drives","exp_concerns","exp_transc","experiential","epistemic"
"kafka_amerika_1925_de.txt",1,84125,6.04,2.02,3.05,2.95,0.31,0.37,0.79,0.66,0.3,0.27,2.74,2.06,1.95,3.35,3.71,3.8,5.34,1.17,1.85,0.4,1.33,0.35,0.19,0.32,1.04,2.82,2.27,0.45,0.39,2.46,11.35,1.82,0.9,0.71,0.51,0.45,0.06,3.97,2.19,5.82,4.42,17.23,6.97,3.94,0.51,39.23,31.32
"brodkafka_samuel_1912_de.txt",1,4774,6.22,1.8,2.83,3.37,0.34,0.34,0.71,0.42,0.38,0.48,1.15,2.22,1.95,2.51,3.08,3.39,4.57,0.98,0.71,0.48,1.42,0.46,0.21,0.23,1.82,2.76,1.93,0.44,0.34,2.03,11.37,1.68,1.82,0.4,0.75,0.15,0.02,2.43,2.32,5.93,4.76,15.57,7.29,4.65,0.17,37.19,28.57
"altenberg_prodromos_1906_de.txt",1,31465,3.89,1.51,2.25,4.83,0.45,0.67,1.16,0.79,0.33,0.75,1.39,2.03,2.14,2.2,2.26,3.35,3.69,0.83,1.01,0.85,1.82,1.13,0.44,1.04,1.5,3.46,2.12,0.75,0.37,1.76,9.33,1.98,1.24,0.22,0.75,1.2,0.4,3.26,4.43,5.96,7.11,13.78,8.2,4.19,1.6,42.57,23.32
"keyserling_beatemareile_1903_de.txt",1,30747,3.57,1.38,1.79,3.93,0.41,0.52,1.23,0.84,0.27,0.9,1.56,1.98,2.08,2.02,2.07,2.89,3,1.57,1.82,1.05,2.27,0.8,0.8,0.49,1.38,2.56,1.77,0.32,0.34,2.45,11.17,0.91,1.31,0.74,0.39,0.65,0.16,3.57,4.36,3.87,6.09,18.06,6.37,3.35,0.81,42.61,20.78
"may_winnetou_1893_de.txt",1,158438,5.17,2.33,2.3,3.07,0.3,0.65,0.62,0.44,0.21,0.08,1.88,2.4,2.49,3.45,3.07,3.73,5.06,1.01,1.17,0.43,1.14,0.48,0.17,0.33,2.54,2.88,1.66,0.52,0.66,2.99,10.17,1.35,0.82,0.07,0.35,0.34,0.58,2.61,2.12,6.12,4.64,15.77,8.26,2.59,0.92,36.91,30
"achleitner_celsissimus_1901_de.txt",1,68218,3.02,1.41,1.63,3.64,0.6,0.78,0.89,0.71,0.26,0.39,1.45,1.86,1.46,1.92,1.84,2.75,2.7,0.65,1.06,0.54,1.18,0.69,0.28,0.37,1.33,2.31,2.58,0.51,0.62,2.27,9.53,1.95,0.63,0.35,0.74,1.72,0.29,2.81,2.52,4.03,5.91,14.05,7.35,3.67,2.01,38.32,18.59
"walser_gehuelfe_1908_de.txt",1,73867,4.83,1.55,2.85,4.04,0.34,0.51,0.76,1.09,0.24,0.79,2.5,2.04,2.13,2.36,3.52,3.05,4.05,1.32,1.4,0.59,1.25,0.57,0.26,0.58,0.83,2.88,2.34,0.39,0.37,2.15,10.94,1.9,1.09,0.79,0.75,0.54,0.07,4.62,2.66,6.27,5.65,16.4,6.81,4.53,0.61,41.28,26.38
"raabe_akten_1896_de.txt",1,61193,5.09,1.68,2.28,3.69,0.31,0.43,0.97,1.54,0.7,0.92,2.02,2.02,1.87,2.24,2.85,3.21,4.55,0.67,0.99,0.42,1.18,0.7,0.33,0.16,2.64,2.73,1.93,0.55,0.17,1.72,11.61,1.25,0.79,0.82,0.56,0.76,0.16,5.18,2.37,4.56,5.4,15.41,8.02,3.42,0.92,40.72,25.79
"sapper_vater_1915_de.txt",1,26709,4.51,2.3,2.57,3.95,0.6,0.4,1.35,2.92,0.38,1.51,3.25,1.89,1.82,3.06,2.95,3.99,4.45,1.12,1.56,0.57,0.98,0.39,0.21,0.29,3.61,2.98,2.55,0.6,0.49,3.03,9.98,1.3,0.84,0.82,0.45,0.38,0.26,8.06,1.87,4.34,6.3,16.26,10.23,3.41,0.64,46.77,27.54
"goethe_italienische_1786_de.txt",1,171439,4.41,1.26,2.91,4.82,0.19,0.27,0.57,0.33,0.29,0.17,0.95,2.17,1.73,2.08,2.76,3.02,3.76,1.25,0.62,0.42,0.74,0.49,0.28,0.28,1.49,3.06,1.83,0.69,0.37,2.1,12.32,1.97,1.16,0.33,0.55,0.8,0.19,1.74,1.79,6.46,5.85,16.71,7.44,4.01,0.99,38.53,24.1
"goethe_wahlverwandtschaften_1809_de.txt",1,79005,4.68,1.82,2.89,4.9,0.44,0.32,0.91,0.61,0.55,0.35,1.74,2.64,1.95,2.77,3.31,3.57,4.58,1.07,0.9,0.42,0.87,0.49,0.35,0.18,1.8,3.21,1.59,0.74,0.41,2.34,10.78,1.93,0.69,0.4,0.52,0.43,0.18,3.25,1.89,6.19,6.57,15.51,7.75,3.54,0.61,39.12,28.21
"dickens_twist_1838_en.txt",1,119345,4.73,1.68,2.12,2.92,0.48,0.63,0.9,0.52,0.38,0.45,2.62,1.81,1.7,2.23,2.93,2.85,3.79,1.18,1.7,0.51,1.7,0.79,0.29,0.43,1.11,2.49,1.73,0.43,0.4,2.69,10.57,1.35,0.7,0.6,0.63,0.91,0.35,3.97,3.21,4.85,4.93,16.65,6.16,3.28,1.26,39.46,23.84
"goethe_werther_1787_de.txt",1,39287,3.44,1.86,2.64,4.78,0.45,0.38,1.36,0.73,0.35,0.38,1.71,2.37,2.13,2.5,2.98,3.42,3.64,1.03,1.39,0.58,1.57,0.63,0.47,0.31,1.81,2.88,1.46,0.49,0.34,2.23,10.1,1.18,0.84,0.33,0.48,0.97,0.39,3.17,2.98,5.12,6.97,15.33,6.98,2.83,1.36,39.62,24.98
"dostoevskij_idiot_1889_ru.txt",1,276529,6.32,2.05,3.04,3.43,0.58,0.7,0.87,0.7,0.29,0.38,2.16,2.88,2.04,2.88,3.44,3.91,5,1.01,1.46,0.34,1.15,0.53,0.25,0.17,1.26,2.78,1.49,0.41,0.37,1.97,9.98,1.34,0.54,0.44,0.55,0.52,0.21,3.53,2.1,6.19,5.58,14.76,6.31,2.87,0.73,35.88,31.56
"tolstoy_anna_1920_ru.txt",1,188867,4.94,2.12,2.4,3.63,0.43,0.47,0.83,0.79,0.28,0.46,2.62,2.73,1.86,2.68,2.47,3.62,4.61,1.17,1.28,0.51,1.3,0.6,0.39,0.29,1.23,2.71,1.5,0.46,0.41,2.3,9.66,1.73,0.78,0.28,0.51,0.38,0.13,4.15,2.58,5.72,5.36,14.92,6.31,3.3,0.51,37.13,27.43
