"source","target","weight"
"dickens_copperfield_1111.txt","fontane_reise_1894.txt",10
"dickens_copperfield_1111.txt","raabe_stopfkuchen_1891.txt",9
"dickens_copperfield_1111.txt","raabe_akten_1896.txt",8
"dickens_copperfield_1111.txt","tolstoy_ehe_1921.txt",7
"dickens_copperfield_1111.txt","reventlow_dames_1913.txt",6
"dickens_copperfield_1111.txt","walser_jakob_1909.txt",5
"dickens_copperfield_1111.txt","fontane_briest_1896.txt",4
"dickens_copperfield_1111.txt","andreas_fenitschka_1898.txt",3
"dickens_copperfield_1111.txt","kafka_landarzt_1920.txt",2
"dickens_copperfield_1111.txt","spyri_heidilehr_1880.txt",1
"dickens_twist_1111.txt","tolstoy_herr_1916.txt",10
"dickens_twist_1111.txt","storm_schimmelreiter_1888.txt",9
"dickens_twist_1111.txt","kraft_medizinmann_1896.txt",8
"dickens_twist_1111.txt","schnitzler_traumnovelle_1926.txt",7
"dickens_twist_1111.txt","wassermann_moloch_1902.txt",6
"dickens_twist_1111.txt","dickens_zwei_1859.txt",5
"dickens_twist_1111.txt","hamsun_sklaven_1922.txt",4
"dickens_twist_1111.txt","storm_riew_1885.txt",3
"dickens_twist_1111.txt","schreiner_halket_1898.txt",2
"dickens_twist_1111.txt","kafka_strafkolonie_1919.txt",1
"dickens_weihnachts_1843.txt","walser_gehuelfe_1908.txt",10
"dickens_weihnachts_1843.txt","falke_nebel_1899.txt",9
"dickens_weihnachts_1843.txt","bonsels_himmelsvolk_1915.txt",8
"dickens_weihnachts_1843.txt","bonsels_maja_1912.txt",7
"dickens_weihnachts_1843.txt","brod_beer_1912.txt",6
"dickens_weihnachts_1843.txt","goethe_lehr.txt",5
"dickens_weihnachts_1843.txt","heiberg_grevinde_1898.txt",4
"dickens_weihnachts_1843.txt","preuschen_yoshiwara_1920.txt",3
"dickens_weihnachts_1843.txt","heiberg_charaktere_1901.txt",2
"dickens_weihnachts_1843.txt","tolstoy_anna1_1920.txt",1
"dickens_zwei_1859.txt","hamsun_sklaven_1922.txt",10
"dickens_zwei_1859.txt","storm_schimmelreiter_1888.txt",9
"dickens_zwei_1859.txt","kraft_medizinmann_1896.txt",8
"dickens_zwei_1859.txt","schnitzler_casanova_1918.txt",7
"dickens_zwei_1859.txt","tolstoy_herr_1916.txt",6
"dickens_zwei_1859.txt","hesse_Rad_1906.txt",5
"dickens_zwei_1859.txt","kretzer_timpe_1888.txt",4
"dickens_zwei_1859.txt","storm_basch_1887.txt",3
"dickens_zwei_1859.txt","heiberg_frau_1886.txt",2
"dickens_zwei_1859.txt","storm_riew_1885.txt",1
"brod_stunde_1916.txt","kafka_betrachtung_1912.txt",10
"brod_stunde_1916.txt","kafka_landarzt_1920.txt",9
"brod_stunde_1916.txt","hagenauer_muspilli_1900.txt",8
"brod_stunde_1916.txt","kafka_kuebelreiter_1917.txt",7
"brod_stunde_1916.txt","schnitzler_tanzerin_1905.txt",6
"brod_stunde_1916.txt","grillparzer_spielmann_1847.txt",5
"brod_stunde_1916.txt","kafka_verwandlung_1915.txt",4
"brod_stunde_1916.txt","musil_toerless.txt",3
"brod_stunde_1916.txt","storm_doppelgaenger_1887.txt",2
"brod_stunde_1916.txt","kraft_medizinmann_1896.txt",1
"brod_beer_1912.txt","heiberg_grevinde_1898.txt",10
"brod_beer_1912.txt","mann_tonio_1903.txt",9
"brod_beer_1912.txt","mann_tristan_1903.txt",8
"brod_beer_1912.txt","dickens_weihnachts_1843.txt",7
"brod_beer_1912.txt","flaubert_leidenschaft.txt",6
"brod_beer_1912.txt","walser_gehuelfe_1908.txt",5
"brod_beer_1912.txt","heiberg_todsunden_1891.txt",4
"brod_beer_1912.txt","sapper_kriegsbuchlein_1914.txt",3
"brod_beer_1912.txt","bonsels_himmelsvolk_1915.txt",2
"brod_beer_1912.txt","mann_zauberberg_1924.txt",1
"brodkafka_samuel_1912.txt","meissner_prinzessin_1882.txt",10
"brodkafka_samuel_1912.txt","raabe_akten_1896.txt",9
"brodkafka_samuel_1912.txt","fontane_wuthenow_1883.txt",8
"brodkafka_samuel_1912.txt","raabe_stopfkuchen_1891.txt",7
"brodkafka_samuel_1912.txt","kafka_landarzt_1920.txt",6
"brodkafka_samuel_1912.txt","flaubert_november_1842.txt",5
"brodkafka_samuel_1912.txt","fontane_reise_1894.txt",4
"brodkafka_samuel_1912.txt","lasswitz_seife_1890.txt",3
"brodkafka_samuel_1912.txt","keller_sinngedicht_1882.txt",2
"brodkafka_samuel_1912.txt","lasswitz_planeten01_1897.txt",1
"wassermann_moloch_1902.txt","wassermann_vierzig_1913.txt",10
"wassermann_moloch_1902.txt","meyer_richterin_1885.txt",9
"wassermann_moloch_1902.txt","strindberg_magd_1921.txt",8
"wassermann_moloch_1902.txt","meyer_borgia_1891.txt",7
"wassermann_moloch_1902.txt","flaubert_bovary_1857.txt",6
"wassermann_moloch_1902.txt","schubin_vollmondzauber02_1899.txt",5
"wassermann_moloch_1902.txt","hesse_Rad_1906.txt",4
"wassermann_moloch_1902.txt","dickens_twist_1111.txt",3
"wassermann_moloch_1902.txt","hauptmann_bahnwaerter_1892.txt",2
"wassermann_moloch_1902.txt","storm_schimmelreiter_1888.txt",1
"eschstruth_katz_1886.txt","mann_venedig_1913.txt",10
"eschstruth_katz_1886.txt","schubin_vollmondzauber01_1899.txt",9
"eschstruth_katz_1886.txt","keyserling_beatemareile_1903.txt",8
"eschstruth_katz_1886.txt","hoffmann_topf.txt",7
"eschstruth_katz_1886.txt","polenz_buettnerbauer_1895.txt",6
"eschstruth_katz_1886.txt","achleitner_celsissimus_1901.txt",5
"eschstruth_katz_1886.txt","storm_basch_1887.txt",4
"eschstruth_katz_1886.txt","flaubert_schule_1870.txt",3
"eschstruth_katz_1886.txt","schubin_etiquette_1887.txt",2
"eschstruth_katz_1886.txt","kretzer_timpe_1888.txt",1
"lasswitz_planeten02_1897.txt","achleitner_celsissimus_1901.txt",10
"lasswitz_planeten02_1897.txt","achleitner_bergrichters_1900.txt",9
"lasswitz_planeten02_1897.txt","raabe_odfeld_1889.txt",8
"lasswitz_planeten02_1897.txt","mann_venedig_1913.txt",7
"lasswitz_planeten02_1897.txt","strindberg_inselbauern_1918.txt",6
"lasswitz_planeten02_1897.txt","walser_Schlacht_1908.txt",5
"lasswitz_planeten02_1897.txt","eschstruth_katz_1886.txt",4
"lasswitz_planeten02_1897.txt","lasswitz_planeten01_1897.txt",3
"lasswitz_planeten02_1897.txt","schubin_etiquette_1887.txt",2
"lasswitz_planeten02_1897.txt","achleitner_tann_1897.txt",1
"bierbaum_stilpe_1897.txt","heiberg_todsunden_1891.txt",10
"bierbaum_stilpe_1897.txt","bonsels_maja_1912.txt",9
"bierbaum_stilpe_1897.txt","akunian_bittersuess_1891.txt",8
"bierbaum_stilpe_1897.txt","heiberg_charaktere_1901.txt",7
"bierbaum_stilpe_1897.txt","tolstoy_anna1_1920.txt",6
"bierbaum_stilpe_1897.txt","akunian_fluegel_1895.txt",5
"bierbaum_stilpe_1897.txt","sapper_dummerle_1905.txt",4
"bierbaum_stilpe_1897.txt","dickens_weihnachts_1843.txt",3
"bierbaum_stilpe_1897.txt","heiberg_grevinde_1898.txt",2
"bierbaum_stilpe_1897.txt","walser_gehuelfe_1908.txt",1
"lasswitz_seife_1890.txt","fontane_wuthenow_1883.txt",10
"lasswitz_seife_1890.txt","walser_gehuelfe_1908.txt",9
"lasswitz_seife_1890.txt","heiberg_grevinde_1898.txt",8
"lasswitz_seife_1890.txt","bonsels_himmelsvolk_1915.txt",7
"lasswitz_seife_1890.txt","altenberg_prodromos_1906.txt",6
"lasswitz_seife_1890.txt","keller_sinngedicht_1882.txt",5
"lasswitz_seife_1890.txt","lasswitz_planeten01_1897.txt",4
"lasswitz_seife_1890.txt","sapper_kriegsbuchlein_1914.txt",3
"lasswitz_seife_1890.txt","hoffmann_zaches.txt",2
"lasswitz_seife_1890.txt","musil_mann.txt",1
"schubin_vollmondzauber02_1899.txt","schubin_etiquette_1887.txt",10
"schubin_vollmondzauber02_1899.txt","flaubert_bovary_1857.txt",9
"schubin_vollmondzauber02_1899.txt","hesse_Rad_1906.txt",8
"schubin_vollmondzauber02_1899.txt","flaubert_schule_1870.txt",7
"schubin_vollmondzauber02_1899.txt","schubin_vollmondzauber01_1899.txt",6
"schubin_vollmondzauber02_1899.txt","strindberg_inselbauern_1918.txt",5
"schubin_vollmondzauber02_1899.txt","strindberg_magd_1921.txt",4
"schubin_vollmondzauber02_1899.txt","hauptmann_bahnwaerter_1892.txt",3
"schubin_vollmondzauber02_1899.txt","raabe_odfeld_1889.txt",2
"schubin_vollmondzauber02_1899.txt","wassermann_moloch_1902.txt",1
"hamsun_weiber_1922.txt","akunian_fluegel_1895.txt",10
"hamsun_weiber_1922.txt","sturza_geluebde_1905.txt",9
"hamsun_weiber_1922.txt","sapper_vater_1915.txt",8
"hamsun_weiber_1922.txt","tolstoy_anna1_1920.txt",7
"hamsun_weiber_1922.txt","sapper_pfaffling_1907.txt",6
"hamsun_weiber_1922.txt","sapper_dummerle_1905.txt",5
"hamsun_weiber_1922.txt","heiberg_charaktere_1901.txt",4
"hamsun_weiber_1922.txt","akunian_bittersuess_1891.txt",3
"hamsun_weiber_1922.txt","bonsels_maja_1912.txt",2
"hamsun_weiber_1922.txt","bierbaum_stilpe_1897.txt",1
"hamsun_sklaven_1922.txt","dickens_zwei_1859.txt",10
"hamsun_sklaven_1922.txt","tolstoy_herr_1916.txt",9
"hamsun_sklaven_1922.txt","kraft_medizinmann_1896.txt",8
"hamsun_sklaven_1922.txt","storm_riew_1885.txt",7
"hamsun_sklaven_1922.txt","storm_schimmelreiter_1888.txt",6
"hamsun_sklaven_1922.txt","schnitzler_traumnovelle_1926.txt",5
"hamsun_sklaven_1922.txt","dickens_twist_1111.txt",4
"hamsun_sklaven_1922.txt","meissner_prinzessin_1882.txt",3
"hamsun_sklaven_1922.txt","schnitzler_tanzerin_1905.txt",2
"hamsun_sklaven_1922.txt","storm_doppelgaenger_1887.txt",1
"strindberg_magd_1921.txt","hesse_Rad_1906.txt",10
"strindberg_magd_1921.txt","schubin_vollmondzauber02_1899.txt",9
"strindberg_magd_1921.txt","wassermann_moloch_1902.txt",8
"strindberg_magd_1921.txt","schubin_vollmondzauber01_1899.txt",7
"strindberg_magd_1921.txt","flaubert_bovary_1857.txt",6
"strindberg_magd_1921.txt","meyer_pescara_1887.txt",5
"strindberg_magd_1921.txt","flaubert_schule_1870.txt",4
"strindberg_magd_1921.txt","dickens_zwei_1859.txt",3
"strindberg_magd_1921.txt","mann_zauberberg_1924.txt",2
"strindberg_magd_1921.txt","kretzer_timpe_1888.txt",1
"strindberg_inselbauern_1918.txt","raabe_odfeld_1889.txt",10
"strindberg_inselbauern_1918.txt","schubin_vollmondzauber02_1899.txt",9
"strindberg_inselbauern_1918.txt","hesse_Rad_1906.txt",8
"strindberg_inselbauern_1918.txt","storm_basch_1887.txt",7
"strindberg_inselbauern_1918.txt","walser_Schlacht_1908.txt",6
"strindberg_inselbauern_1918.txt","achleitner_bergrichters_1900.txt",5
"strindberg_inselbauern_1918.txt","dickens_zwei_1859.txt",4
"strindberg_inselbauern_1918.txt","schubin_etiquette_1887.txt",3
"strindberg_inselbauern_1918.txt","hoffmann_nacht.txt",2
"strindberg_inselbauern_1918.txt","storm_schimmelreiter_1888.txt",1
"achleitner_bergrichters_1900.txt","achleitner_celsissimus_1901.txt",10
"achleitner_bergrichters_1900.txt","raabe_odfeld_1889.txt",9
"achleitner_bergrichters_1900.txt","achleitner_tann_1897.txt",8
"achleitner_bergrichters_1900.txt","strindberg_inselbauern_1918.txt",7
"achleitner_bergrichters_1900.txt","lasswitz_planeten02_1897.txt",6
"achleitner_bergrichters_1900.txt","walser_Schlacht_1908.txt",5
"achleitner_bergrichters_1900.txt","schubin_etiquette_1887.txt",4
"achleitner_bergrichters_1900.txt","schubin_vollmondzauber02_1899.txt",3
"achleitner_bergrichters_1900.txt","mann_venedig_1913.txt",2
"achleitner_bergrichters_1900.txt","grillparzer_kloster_1827.txt",1
"kraft_medizinmann_1896.txt","tolstoy_herr_1916.txt",10
"kraft_medizinmann_1896.txt","hamsun_sklaven_1922.txt",9
"kraft_medizinmann_1896.txt","dickens_zwei_1859.txt",8
"kraft_medizinmann_1896.txt","kafka_strafkolonie_1919.txt",7
"kraft_medizinmann_1896.txt","schnitzler_traumnovelle_1926.txt",6
"kraft_medizinmann_1896.txt","dickens_twist_1111.txt",5
"kraft_medizinmann_1896.txt","storm_schimmelreiter_1888.txt",4
"kraft_medizinmann_1896.txt","kafka_verwandlung_1915.txt",3
"kraft_medizinmann_1896.txt","schreiner_halket_1898.txt",2
"kraft_medizinmann_1896.txt","hesse_Rad_1906.txt",1
"schubin_etiquette_1887.txt","schubin_vollmondzauber02_1899.txt",10
"schubin_etiquette_1887.txt","raabe_odfeld_1889.txt",9
"schubin_etiquette_1887.txt","hauptmann_bahnwaerter_1892.txt",8
"schubin_etiquette_1887.txt","grillparzer_kloster_1827.txt",7
"schubin_etiquette_1887.txt","meyer_borgia_1891.txt",6
"schubin_etiquette_1887.txt","flaubert_bovary_1857.txt",5
"schubin_etiquette_1887.txt","meyer_monchs_1884.txt",4
"schubin_etiquette_1887.txt","wassermann_spiegel_1911.txt",3
