Source,Target,Type,Id,Label,timeset,Weight
falke_durchschnitt_1892_de,preuschen_yoshiwara_1920_de,Undirected,1524,,,36
falke_durchschnitt_1892_de,schubin_vollmondzauber01_1899_de,Undirected,1525,,,2
falke_nebel_1899_de,holz_hamlet_1889_de,Undirected,1531,,,166
falke_nebel_1899_de,keyserling_beatemareile_1903_de,Undirected,1532,,,36
falke_nebel_1899_de,musil_haus_1908_de,Undirected,1533,,,2
flaubert_bovary_1857_fra,flaubert_legende_1877_fra,Undirected,1536,,,2
flaubert_bovary_1857_fra,flaubert_leidenschaft_1839_fra,Undirected,1537,,,54
flaubert_bovary_1857_fra,flaubert_salambo_1863_fra,Undirected,1538,,,78
flaubert_bovary_1857_fra,flaubert_schlichtes_1877_fra,Undirected,1539,,,150
flaubert_bovary_1857_fra,flaubert_schule_1870_fra,Undirected,1540,,,100
flaubert_bovary_1857_fra,hamsun_sklaven_1922_sca,Undirected,1541,,,38
flaubert_bovary_1857_fra,hesse_rad_1906_de,Undirected,1542,,,34
flaubert_bovary_1857_fra,keyserling_beatemareile_1903_de,Undirected,1543,,,4
flaubert_bovary_1857_fra,preuschen_yoshiwara_1920_de,Undirected,1544,,,6
flaubert_bovary_1857_fra,schubin_vollmondzauber02_1899_de,Undirected,1545,,,50
flaubert_bovary_1857_fra,strindberg_inselbauern_1918_sca,Undirected,1546,,,4
flaubert_bovary_1857_fra,tolstoy_herrknecht_1916_ru,Undirected,1547,,,4
flaubert_herodias_1877_fra,flaubert_legende_1877_fra,Undirected,1548,,,178
flaubert_herodias_1877_fra,flaubert_salambo_1863_fra,Undirected,1549,,,204
flaubert_herodias_1877_fra,flaubert_schlichtes_1877_fra,Undirected,1550,,,38
flaubert_herodias_1877_fra,flaubert_schule_1870_fra,Undirected,1551,,,40
flaubert_herodias_1877_fra,hauptmann_bahnwaerter_1892_de,Undirected,1552,,,8
flaubert_herodias_1877_fra,mann_venedig_1913_de,Undirected,1553,,,10
flaubert_herodias_1877_fra,schubin_etiquette_1887_de,Undirected,1554,,,6
flaubert_herodias_1877_fra,wassermann_spiegel_1911_de,Undirected,1555,,,4
flaubert_legende_1877_fra,flaubert_november_1842_fra,Undirected,1559,,,50
flaubert_legende_1877_fra,flaubert_salambo_1863_fra,Undirected,1560,,,190
flaubert_legende_1877_fra,flaubert_schlichtes_1877_fra,Undirected,1561,,,138
flaubert_legende_1877_fra,flaubert_schule_1870_fra,Undirected,1562,,,52
flaubert_legende_1877_fra,hamsun_sklaven_1922_sca,Undirected,1563,,,6
flaubert_legende_1877_fra,hauptmann_bahnwaerter_1892_de,Undirected,1564,,,118
flaubert_legende_1877_fra,hesse_rad_1906_de,Undirected,1565,,,10
flaubert_legende_1877_fra,mann_tonio_1903_de,Undirected,1566,,,2
flaubert_legende_1877_fra,mann_venedig_1913_de,Undirected,1567,,,54
flaubert_legende_1877_fra,walser_schlacht_1908_de,Undirected,1568,,,4
flaubert_legende_1877_fra,wassermann_spiegel_1911_de,Undirected,1569,,,10
flaubert_leidenschaft_1839_fra,flaubert_november_1842_fra,Undirected,1572,,,208
flaubert_leidenschaft_1839_fra,flaubert_schlichtes_1877_fra,Undirected,1573,,,8
flaubert_leidenschaft_1839_fra,musil_haus_1908_de,Undirected,1574,,,136
flaubert_leidenschaft_1839_fra,preuschen_yoshiwara_1920_de,Undirected,1575,,,80
flaubert_november_1842_fra,flaubert_salambo_1863_fra,Undirected,1581,,,2
flaubert_november_1842_fra,goethe_werther_1787_de,Undirected,1582,,,26
flaubert_november_1842_fra,hagenauer_muspilli_1900_de,Undirected,1583,,,18
flaubert_november_1842_fra,sturza_geluebde_1905_de,Undirected,1584,,,12
flaubert_november_1842_fra,tolstoy_romanehe_1921_ru,Undirected,1585,,,60
flaubert_november_1842_fra,walser_kleine_1914_de,Undirected,1586,,,14
flaubert_salambo_1863_fra,flaubert_schlichtes_1877_fra,Undirected,1592,,,48
flaubert_salambo_1863_fra,grillparzer_kloster_1827_de,Undirected,1593,,,4
flaubert_salambo_1863_fra,hauptmann_bahnwaerter_1892_de,Undirected,1594,,,60
flaubert_salambo_1863_fra,heyking_erzaehlungen_1918_de,Undirected,1595,,,4
flaubert_salambo_1863_fra,kraft_medizinmann_1896_de,Undirected,1596,,,32
flaubert_salambo_1863_fra,lasswitz_planeten02_1897_de,Undirected,1597,,,36
flaubert_salambo_1863_fra,schubin_vollmondzauber02_1899_de,Undirected,1598,,,4
flaubert_salambo_1863_fra,stifter_buntesteine_1853_de,Undirected,1599,,,12
flaubert_salambo_1863_fra,strindberg_inselbauern_1918_sca,Undirected,1600,,,10
flaubert_salambo_1863_fra,walser_schlacht_1908_de,Undirected,1601,,,94
flaubert_salambo_1863_fra,wassermann_spiegel_1911_de,Undirected,1602,,,2
flaubert_schlichtes_1877_fra,flaubert_schule_1870_fra,Undirected,1610,,,214
flaubert_schlichtes_1877_fra,keller_sinngedicht_1882_de,Undirected,1611,,,34
flaubert_schlichtes_1877_fra,schubin_vollmondzauber01_1899_de,Undirected,1612,,,4
flaubert_schlichtes_1877_fra,schubin_vollmondzauber02_1899_de,Undirected,1613,,,2
flaubert_schlichtes_1877_fra,strindberg_inselbauern_1918_sca,Undirected,1614,,,10
flaubert_schlichtes_1877_fra,walser_schlacht_1908_de,Undirected,1615,,,10
flaubert_schlichtes_1877_fra,wassermann_spiegel_1911_de,Undirected,1616,,,2
flaubert_schlichtes_1877_fra,wassermann_vierzig_1913_de,Undirected,1617,,,34
flaubert_schule_1870_fra,hamsun_sklaven_1922_sca,Undirected,1624,,,22
flaubert_schule_1870_fra,keller_sinngedicht_1882_de,Undirected,1625,,,10
flaubert_schule_1870_fra,kretzer_timpe_1888_de,Undirected,1626,,,10
flaubert_schule_1870_fra,schnitzler_casanova_1918_de,Undirected,1627,,,8
flaubert_schule_1870_fra,schubin_vollmondzauber01_1899_de,Undirected,1628,,,24
flaubert_schule_1870_fra,wassermann_moloch_1902_de,Undirected,1629,,,4
flaubert_schule_1870_fra,wassermann_spiegel_1911_de,Undirected,1630,,,4
flaubert_schule_1870_fra,wassermann_vierzig_1913_de,Undirected,1631,,,2
fontane_briest_1896_de,fontane_irrungen_1888_de,Undirected,1634,,,188
fontane_briest_1896_de,fontane_reise_1894_de,Undirected,1635,,,118
fontane_briest_1896_de,fontane_stechlin_1899_de,Undirected,1636,,,220
fontane_briest_1896_de,fontane_wuthenow_1883_de,Undirected,1637,,,18
fontane_briest_1896_de,hesse_knulp_1915_de,Undirected,1638,,,2
fontane_briest_1896_de,reventlow_dames_1913_de,Undirected,1639,,,38
fontane_briest_1896_de,schnitzler_else_1924_de,Undirected,1640,,,36
fontane_irrungen_1888_de,fontane_reise_1894_de,Undirected,1643,,,100
fontane_irrungen_1888_de,fontane_stechlin_1899_de,Undirected,1644,,,192
fontane_irrungen_1888_de,fontane_wuthenow_1883_de,Undirected,1645,,,44
fontane_irrungen_1888_de,hesse_knulp_1915_de,Undirected,1646,,,4
fontane_reise_1894_de,fontane_stechlin_1899_de,Undirected,1649,,,142
fontane_reise_1894_de,fontane_wuthenow_1883_de,Undirected,1650,,,70
fontane_reise_1894_de,schreiner_halket_1898_de,Undirected,1651,,,2
fontane_stechlin_1899_de,fontane_wuthenow_1883_de,Undirected,1656,,,108
fontane_stechlin_1899_de,raabe_akten_1896_de,Undirected,1657,,,40
fontane_stechlin_1899_de,raabe_stopfkuchen_1891_de,Undirected,1658,,,40
fontane_stechlin_1899_de,reventlow_dames_1913_de,Undirected,1659,,,62
fontane_stechlin_1899_de,schnitzler_else_1924_de,Undirected,1660,,,4
goethe_italienische_1786_de,goethe_meisterlehr_1796_de,Undirected,1666,,,74
goethe_italienische_1786_de,goethe_meisterwander_1829_de,Undirected,1667,,,184
goethe_italienische_1786_de,goethe_wahlverwandtschaften_1809_de,Undirected,1668,,,114
goethe_italienische_1786_de,goethe_werther_1787_de,Undirected,1669,,,4
goethe_italienische_1786_de,kafka_bau_1928_de,Undirected,1670,,,4
goethe_italienische_1786_de,lasswitz_seife_1890_de,Undirected,1671,,,22
goethe_italienische_1786_de,stifter_nachsommer_1857_de,Undirected,1672,,,82
goethe_meisterlehr_1796_de,goethe_meisterwander_1829_de,Undirected,1674,,,160
goethe_meisterlehr_1796_de,goethe_wahlverwandtschaften_1809_de,Undirected,1675,,,176
goethe_meisterlehr_1796_de,goethe_werther_1787_de,Undirected,1676,,,106
goethe_meisterlehr_1796_de,keller_sinngedicht_1882_de,Undirected,1677,,,64
goethe_meisterlehr_1796_de,kleist_marquise_1808_de,Undirected,1678,,,2
goethe_meisterlehr_1796_de,stifter_nachsommer_1857_de,Undirected,1679,,,2
goethe_meisterlehr_1796_de,tolstoy_anna_1920_ru,Undirected,1680,,,2
goethe_meisterwander_1829_de,goethe_wahlverwandtschaften_1809_de,Undirected,1683,,,240
goethe_meisterwander_1829_de,goethe_werther_1787_de,Undirected,1684,,,30
goethe_meisterwander_1829_de,keller_sinngedicht_1882_de,Undirected,1685,,,80
goethe_meisterwander_1829_de,lasswitz_planeten01_1897_de,Undirected,1686,,,2
goethe_meisterwander_1829_de,lasswitz_seife_1890_de,Undirected,1687,,,62
goethe_meisterwander_1829_de,stifter_nachsommer_1857_de,Undirected,1688,,,18
goethe_wahlverwandtschaften_1809_de,goethe_werther_1787_de,Undirected,1692,,,42
goethe_wahlverwandtschaften_1809_de,kafka_hungerkünstler_1924_de,Undirected,1693,,,4
goethe_wahlverwandtschaften_1809_de,keller_sinngedicht_1882_de,Undirected,1694,,,4
goethe_wahlverwandtschaften_1809_de,sturza_geluebde_1905_de,Undirected,1695,,,6
goethe_wahlverwandtschaften_1809_de,tolstoy_anna_1920_ru,Undirected,1696,,,4
goethe_werther_1787_de,may_winnetou_1893_de,Undirected,1706,,,2
goethe_werther_1787_de,schnitzler_else_1924_de,Undirected,1707,,,6
goethe_werther_1787_de,sturza_geluebde_1905_de,Undirected,1708,,,2
goethe_werther_1787_de,walser_jakob_1909_de,Undirected,1709,,,2
grillparzer_kloster_1827_de,grillparzer_spielmann_1847_de,Undirected,1711,,,76
grillparzer_kloster_1827_de,hauptmann_bahnwaerter_1892_de,Undirected,1712,,,2
grillparzer_kloster_1827_de,hoffmann_nacht_1817_de,Undirected,1713,,,110
grillparzer_kloster_1827_de,kleist_findling_1811_de,Undirected,1714,,,22
grillparzer_kloster_1827_de,kleist_zweikampf_1811_de,Undirected,1715,,,54
grillparzer_kloster_1827_de,mann_venedig_1913_de,Undirected,1716,,,36
grillparzer_kloster_1827_de,meissner_prinzessin_1882_de,Undirected,1717,,,40
grillparzer_kloster_1827_de,meyer_borgia_1891_de,Undirected,1718,,,18
grillparzer_spielmann_1847_de,hagenauer_muspilli_1900_de,Undirected,1722,,,2
